,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
264,Sagar Niwas,"New Friends Colony, New Delhi",7.7,Good,31 reviews,9.7 km from centre,Metro access,"Boasting a fitness centre, garden and views of garden, Sagar Niwas is situated in New Delhi, 4.2 km from Lotus Temple. Featuring room service, this property also provides guests with a terrace."
265,Hotel Airport Star,"South West, New Delhi",7.6,Good,50 reviews,15.4 km from centre,No Metro Access,"Set in New Delhi, 15 km from Qutub Minar, Hotel Airport Star provides accommodation with free WiFi and free private parking. This 3-star hotel offers an ATM and a concierge service."
266,The Beaufort Inn,"South Delhi, New Delhi",7.5,Good,49 reviews,6 km from centre,No Metro Access,"The Beaufort Inn is situated in the heart of the city, a 10-minute walk from the India Gate. It offers free parking on site and free Wi-Fi access (1 hour)."
267,Vaccinated Staff - OYO 23424 HOTEL Clink,"Mahipalpur, New Delhi",7.0,Good,17 reviews,13 km from centre,No Metro Access,"Conveniently situated in the Mahipalpur district of New Delhi, OYO 23424 Hotel Clink is located 11 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
268,hotel river view,"South Delhi, New Delhi",7.8,Good,11 reviews,11.3 km from centre,No Metro Access,"Situated in New Delhi, within 5 km of Lotus Temple and 9 km of Humayun's Tomb, hotel river view features accommodation with a restaurant and free WiFi as well as free private parking for guests who..."
269,The Stay Inn New Delhi,"South Delhi, New Delhi",8.2,Very good,26 reviews,13.9 km from centre,No Metro Access,"The Stay Inn New Delhi is a 5-minute drive from Saket Metro Station, and a 10-minute drive from the Qutub Minar. It offers free parking on site and rooms with free Wi-Fi access."
270,Hotel Aeropath Near IGI Airport Delhi,"Mahipalpur, New Delhi",9.1,Superb,47 reviews,13.2 km from centre,No Metro Access,"Attractively situated in the Mahipalpur district of New Delhi, Hotel Aeropath Near IGI Airport Delhi is situated 11 km from Qutub Minar, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla Sahib...."
271,FabHotel Nagpal Palace Patel Nagar,New Delhi,7.3,Good,17 reviews,5 km from centre,Metro access,Hotel Nagpal Palace is located in New Delhi. It operates a 24-hour front desk and offers free Wi-Fi access. The iconic India Gate and the beautiful Birla Temple are 3.5 km.
272,Woodpecker Apartments Hauz khas,"Hauz Khas, New Delhi",7.4,Good,50 reviews,9.3 km from centre,No Metro Access,"Boasting city views, Woodpecker Apartments Hauz khas provides accommodation with a balcony and a coffee machine, around 5 km from Qutub Minar."
273,PG Nestaway,New Delhi,6.9,Review score,21 reviews,4 km from centre,No Metro Access,"Located in New Delhi, within 4 km of Gurudwara Bangla Sahib and 4.4 km of Rashtrapati Bhavan, PG Nestaway provides accommodation with a garden and free WiFi throughout the property as well as free..."
274,Hotel Classic Diplomat,"Mahipalpur, New Delhi",7.3,Good,140 reviews,13.5 km from centre,No Metro Access,"A 5-minute drive from Indira Gandhi International Airport, Hotel Classic Diplomat offers free parking and modern rooms with a flat-screen TV and free Wi-Fi."
275,OYO 9150 Airport tourist stays,"Mahipalpur, New Delhi",8.2,Very good,48 reviews,13.3 km from centre,No Metro Access,"Located in New Delhi, within 11 km of Qutub Minar and 13 km of Gandhi Smriti, OYO 9150 Airport tourist stays provides accommodation with a restaurant and free WiFi as well as free private parking for..."
276,Hotel Lord Grand - Offering 20 Percent Disc on Food and Beverage,"South West, New Delhi",7.3,Good,89 reviews,14.4 km from centre,No Metro Access,"Situated in New Delhi, 13 km from Qutub Minar, Hotel Lord Grand - Offering 20 Percent Disc on Food and Beverage features accommodation with a restaurant, free private parking, a shared lounge and a..."
277,Treebo Trend Hotel Venus,"South West, New Delhi",8.0,Very good,59 reviews,14.2 km from centre,No Metro Access,"Situated conveniently in the Aerocity district of New Delhi, Treebo Trend Hotel Venus is set 8 km from Qutub Minar, 11 km from Gandhi Smriti and 11 km from Rashtrapati Bhavan."
278,Woodpecker Service Apartments - Green Park,"South Delhi, New Delhi",7.6,Good,95 reviews,8.6 km from centre,Metro access,"Woodpecker Service Apartments - Green Park has city views, free WiFi and free private parking, situated in New Delhi, 5 km from Lodhi Gardens."
279,Hotel Sweet Home Lodge at New Delhi Railway Station,"Paharganj, New Delhi",6.9,Review score,28 reviews,1.3 km from centre,No Metro Access,"Located just 500 metres from the New Delhi Railway Station, Hotel Sweet Home Lodge at New Delhi Railway Station operates a 24-hour front desk to welcome guests at all hours."
280,Raj Mahal Inn,"Paharganj, New Delhi",7.0,Good,316 reviews,1.1 km from centre,No Metro Access,"Located just 300 metres from the New Delhi Railway Station, Raj Mahal Inn operates a 24-hour front desk to welcome and assist guests. Free WiFi access is available."
281,Kaisons Inn (Near Apollo Hospital),"Jasola, New Delhi",7.7,Good,46 reviews,12.3 km from centre,Metro access,"Located in New Delhi, 6 km from Lotus Temple, Kaisons Inn (Near Apollo Hospital) provides accommodation with a restaurant, free private parking and a shared lounge."
282,Hotel Aeroporto,"Mahipalpur, New Delhi",7.3,Good,417 reviews,13.5 km from centre,No Metro Access,"Offering a restaurant, Hotel Aeroporto is located in New Delhi. Free WiFi access is available. The Indira Gandhi International Airport is just a 5 minute drive away from the property."
283,Deer Park Home Stay,"Safdarjung Enclave, New Delhi",6.8,Review score,29 reviews,8.6 km from centre,No Metro Access,"Situated in New Delhi, 5 km from Lodhi Gardens, Deer Park Home Stay features accommodation with a shared lounge, free WiFi, a 24-hour front desk, and a shared kitchen."
284,OYO Townhouse 023 CR Park,"South Delhi, New Delhi",7.4,Good,17 reviews,10.4 km from centre,Metro access,"Accepting Indian Nationals only and featuring a restaurant, OYO Rooms C R Park is located just 4.5 km from the Lotus Temple. Free WiFi and private parking are available on site."
285,THE IC's Hotel,"South Delhi, New Delhi",6.9,Review score,13 reviews,10.6 km from centre,Metro access,"Offering free WiFi, THE IC's Hotel offers rooms in New Delhi, 6 km from Lotus Temple and 8 km from Humayun's Tomb. Featuring a 24-hour front desk, this property also provides guests with a restaurant...."
286,Hotel Sunstar Residency,"Karol bagh, New Delhi",7.5,Good,191 reviews,4.1 km from centre,Metro access,"Hotel Sunstar Residency offers free Wi-Fi, a 24-hour restaurant and is located 4 km from Connaught Place. The air-conditioned rooms are well decorated and equipped with an en suite bathroom."
287,The Muse Sarovar Portico Kapashera,"South West, New Delhi",7.2,Good,264 reviews,17.7 km from centre,No Metro Access,"Attractively located in the South West district of New Delhi, The Muse Sarovar Portico Kapashera is situated 16 km from Qutub Minar, 17 km from Rashtrapati Bhavan and 18 km from Gandhi Smriti."
288,WoodApple Residency,"East Delhi, New Delhi",7.9,Good,13 reviews,8.4 km from centre,Metro access,"Located in New Delhi, 9 km from Swaminarayan Akshardham, WoodApple Residency provides accommodation with a restaurant, free private parking, a shared lounge and a casino."
289,Sohi Residency,"Karol bagh, New Delhi",7.6,Good,16 reviews,3.2 km from centre,Metro access,"A 5-minute stroll from the Karol Bagh Metro Station, Sohi Residency offers modern rooms with free WiFi and flat-screen TVs, a 24-hour coffee shop and a restaurant serving Indian, Chinese, Thai and..."
290,Vandana's Bed and breakfast,"Safdarjung Enclave, New Delhi",7.9,Good,12 reviews,8.2 km from centre,No Metro Access,"Vandana's Bed and breakfast is located in Delhi, just 4 km away from the famous Qutub Minar. Free Wi-Fi access is available. The property is located 10 km from Indira Gandhi International Airport."
291,OYO 19687 Hotel Airway,"Mahipalpur, New Delhi",7.3,Good,6 reviews,13 km from centre,No Metro Access,"Ideally situated in the Mahipalpur district of New Delhi, OYO 19687 Hotel Airway is situated 11 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
292,"Sailors Home - C6, Vasant Kunj","South Delhi, New Delhi",8.3,Very good,10 reviews,13.4 km from centre,No Metro Access,"Set in New Delhi, 8 km from Qutub Minar and 13 km from Gandhi Smriti, Sailors Home - C6, Vasant Kunj offers accommodation with free WiFi, air conditioning, a restaurant and a shared lounge."
293,Hotel Krone Plaza Near IGI Airport Delhi,"South West, New Delhi",6.1,Review score,442 reviews,14.7 km from centre,No Metro Access,"Situated in New Delhi, 13 km from Qutub Minar, Hotel Krone Plaza Near IGI Airport Delhi features accommodation with a bar, free private parking, a shared lounge and a garden."
294,Aura44,"Janakpuri, New Delhi",7.9,Good,50 reviews,14.4 km from centre,Metro access,"Situated in New Delhi, 12 km from Rashtrapati Bhavan, Aura44 features accommodation with a restaurant, free private parking and a shared lounge."
295,Downtown Travelodge,"South Delhi, New Delhi",6.8,Review score,9 reviews,10.7 km from centre,No Metro Access,"Ideally located in the South Delhi district of New Delhi, Downtown Travelodge is set 2.7 km from Qutub Minar, 5 km from Lotus Temple and 6 km from Lodhi Gardens."
296,Golden Palm Suites,"Dwarka, New Delhi",7.2,Good,8 reviews,18.2 km from centre,Metro access,Golden Palm Suites is located in New Delhi. It is 100 metres away from the Dwarka Sector 12 Metro Station. Free WiFi access is available.
297,Hotel Ajanta,"Paharganj, New Delhi",7.2,Good,"1,134 reviews",1.3 km from centre,No Metro Access,"Conveniently located opposite New Delhi Railway Station, Ajanta Hotel features a 24-hour room service."
298,Amora Hotel Dwarka,"Dwarka, New Delhi",7.2,Good,41 reviews,15.1 km from centre,No Metro Access,Amora Hotel Dwarka features air-conditioned rooms with cable flat-screen TV in the Dwarka district of New Delhi.
299,Hotel Yatri International,"Paharganj, New Delhi",7.4,Good,49 reviews,1.6 km from centre,No Metro Access,"Located barely 500 metres from New Delhi Railway Station, Hotel Yatri International operates a 24-hour reception to welcome guests."
300,Amaltas International Couple Friendly Hotel - Safdarjung Enclave,"South Delhi, New Delhi",7.4,Good,98 reviews,8.7 km from centre,No Metro Access,Amaltas International Couple Friendly Hotel - Safdarjung Enclave features air-conditioned rooms with cable flat-screen TV in the South Delhi district of New Delhi.
301,The Oakland Plaza by Orion Hotels,"South Delhi, New Delhi",7.5,Good,200 reviews,10.2 km from centre,Metro access,"Conveniently located in the South Delhi district of New Delhi, The Oakland Plaza, Couple friendly Budget hotel is set 2.3 km from Lotus Temple, 7 km from Tughlaqabad Fort and 8 km from Humayun's Tomb...."
302,Ashok Country Resort,"South West, New Delhi",7.3,Good,45 reviews,17.5 km from centre,No Metro Access,"Offering a sauna and fitness centre, Ashok Country Resort is set in New Delhi."
303,Hotel Roma Villa,"Paharganj, New Delhi",7.5,Good,54 reviews,1.2 km from centre,No Metro Access,"Located within 2.8 km of Jama Masjid and 2.9 km of Jantar Mantar, Hotel Roma Villa offers rooms with air conditioning and a private bathroom in New Delhi."
304,Hotel The Atlantic,"Mahipalpur, New Delhi",6.9,Review score,17 reviews,13.5 km from centre,No Metro Access,"Situated in New Delhi, 10 km from Qutub Minar, Hotel The Atlantic features accommodation with a restaurant, free private parking and a shared lounge."
305,Treebo Trend Welcome India,"South Delhi, New Delhi",7.9,Good,9 reviews,8.7 km from centre,No Metro Access,"Located in New Delhi, 5 km from Qutub Minar, Treebo Trend Welcome India provides accommodation with free WiFi and free private parking. This 3-star hotel offers room service."
306,Beacon Hotel Nirman Vihar,"East Delhi, New Delhi",7.8,Good,12 reviews,6.2 km from centre,Metro access,Beacon Hotel Nirman Vihar features air-conditioned rooms with flat-screen TV in the East Delhi district of New Delhi.
307,FabHotel Marble Arch - Fully Vaccinated Staff,"Karol bagh, New Delhi",8.3,Very good,117 reviews,3.1 km from centre,Metro access,"Located within 3.8 km of Gurudwara Bangla Sahib and 5 km of Jantar Mantar, FabHotel Marble Arch provides rooms with air conditioning and a private bathroom in New Delhi."
308,"Sailors Home - C9, Vasant Kunj","South Delhi, New Delhi",7.1,Good,15 reviews,13.1 km from centre,No Metro Access,"Located in New Delhi and with Qutub Minar reachable within 9 km, Sailors Home - C9, Vasant Kunj provides express check-in and check-out, rooms, a shared lounge, free WiFi throughout the property and a..."
309,Airport Hotel Eurostar International IGI Airport Delhi,"Mahipalpur, New Delhi",7.8,Good,82 reviews,13.6 km from centre,No Metro Access,Hotel Airport Hotel Eurostar International IGI Airport Delhi is a short 5-minute drive from Indira Gandhi International and Domestic Airport in New Delhi.
310,Vaccinated Staff - OYO 23368 Hotel N Suites,"Mahipalpur, New Delhi",7.1,Good,10 reviews,12.9 km from centre,No Metro Access,Vaccinated Staff - OYO 23368 Hotel N Suites features air-conditioned rooms with cable TV in the Mahipalpur district of New Delhi.
311,The Park New Delhi,"Connaught Place, New Delhi",6.7,Review score,"2,006 reviews",0.9 km from centre,Metro access,"A luxury hotel in New Delhi’s Connaught Place, The Park New Delhi offers accommodation with modern comforts. It houses Aura Spa and Agni Nightclub, and also features 3 dining options."
312,Mandakini villa,"South Delhi, New Delhi",7.0,Good,38 reviews,8.6 km from centre,Metro access,"Featuring a terrace and an ATM, Mandakini villa is well located in South Delhi district of New Delhi, 6 km from Gandhi Smriti and 6 km from Qutub Minar."
313,Hotel Sita International,"Paharganj, New Delhi",7.2,Good,78 reviews,1.4 km from centre,No Metro Access,"Hotel Sita is located in Paharganj, 1.2 km from Connaught Place commercial district. It features rooms with free Wi-Fi and city views. Free parking and a restaurant are offered."
314,Hotel Kundan Palace,"Jasola, New Delhi",6.8,Review score,36 reviews,12.1 km from centre,No Metro Access,"Featuring a fitness centre and a massage parlour, Hotel Kundan Palace is located in New Delhi. Free WiFi access is available. Each room here will provide you with a TV, air conditioning and a balcony...."
315,Ahuja Residency Sunder Nagar,"Sundar Nagar, New Delhi",7.3,Good,73 reviews,4 km from centre,No Metro Access,"Just next to the National Zoological Park and Delhi Golf Club, Ahuja Residency Sunder Nagar a 5-minute drive from Pragati Maidan Metro Station."
316,Alpina Hotels & Suites,"South Delhi, New Delhi",6.2,Review score,8 reviews,10.9 km from centre,Metro access,"Alpina Hotels is located in New Delhi, in the heart of Greater Kailash entertainment district. It features a rooftop lounge and modern rooms with free Wi-Fi. Free parking is provided."
317,"Hotel Mahajan International, Delhi Airport","Mahipalpur, New Delhi",7.2,Good,75 reviews,13.6 km from centre,No Metro Access,"Boasting a bar, shared lounge and views of city, Hotel Mahajan International, Delhi Airport is situated in New Delhi, 10 km from Qutub Minar."
318,Sarthak Palace,"Paharganj, New Delhi",7.7,Good,51 reviews,1.7 km from centre,No Metro Access,"2.8 km from Gurudwara Bangla Sahib, Sarthak Palace is set in New Delhi and provides free WiFi, a tour desk and a ticket service."
319,Hotel Ivory 32,"Greater Kailash 1, New Delhi",7.5,Good,24 reviews,9.3 km from centre,No Metro Access,"In the upscale neighbourhood of Greater Kailash, in Southern Delhi, Hotel Ivory 32 is a stylish boutique property with 24-hour room service and free Wi-Fi in public areas."
320,Hotel Shelton,"Paharganj, New Delhi",7.2,Good,244 reviews,1.1 km from centre,No Metro Access,Hotel Shelton is conveniently located just 300 metres from Delhi Railway Station. Guests can enjoy free Wi-Fi access at all areas of the hotel. It features a restaurant.
321,Treebo Trend C T International,"Karol bagh, New Delhi",7.2,Good,133 reviews,3.1 km from centre,Metro access,Treebo Trend C T International features air-conditioned rooms with cable flat-screen TV in the Karol bagh district of New Delhi.
322,Seven Seas Hotel,"Rohini, New Delhi",7.3,Good,15 reviews,12.7 km from centre,No Metro Access,"Seven Seas Hotel features a restaurant, fitness centre, a bar and shared lounge in New Delhi. With free WiFi, this 5-star hotel offers a 24-hour front desk and room service."
323,OYO 3865 Hotel Corporate Park,"South Delhi, New Delhi",6.1,Review score,4 reviews,10.4 km from centre,Metro access,"Located in South Delhi, Hotel Corporate Park is about 20 km from Indira Gandhi International Airport. It offers free parking, soundproofed rooms and free Wi-Fi."
324,FabHotel Conclave Comfort East Of Kailash,"South Delhi, New Delhi",7.3,Good,177 reviews,9.1 km from centre,No Metro Access,"Located in New Delhi, 2.4 km from Lotus Temple, FabHotel Conclave Comfort East Of Kailash features views of the city."
325,"Hotel Pallvi Palace ""A Well Hygiene Place""","Paharganj, New Delhi",6.5,Review score,15 reviews,1.3 km from centre,No Metro Access,"Reputed for our excellent service, Hotel Pallvi Palace ""A Well Hygiene Place"" provides rooms that are good value for money."
326,FabHotel Star Delhi Airport,"Mahipalpur, New Delhi",7.2,Good,246 reviews,13.1 km from centre,No Metro Access,"FabHotel Star Delhi Airport is located in New Delhi, a 5-minute drive from Indira Gandhi International Airport. It features a restaurant and air-conditioned rooms with a cable TV."
327,FabHotel Ashu Palace Karol Bagh,"Karol bagh, New Delhi",7.2,Good,32 reviews,3.7 km from centre,Metro access,"Located just 200 metres from the metro station, this hotel in the largest shopping centre in Asia is conveniently placed for exploring all that New Delhi has to offer We believe in providing absolute..."
328,FabHotel Transit Delhi Airport Mahiplapur,"Mahipalpur, New Delhi",6.7,Review score,428 reviews,13.2 km from centre,No Metro Access,"Featuring a well-equipped business centre and meeting/banqueting space, FabHotel Transit Delhi Airport Mahiplapur is located 3.5 km from Indira Gandhi International Airport."
329,"Mohan International By WB Economy, New Delhi Railway Station","Paharganj, New Delhi",7.2,Good,80 reviews,1.2 km from centre,No Metro Access,"Located centrally in Paharganj, Mohan International By WB Hotels is 2 km from New Delhi Railway Station and 1 km from the bustling markets of Connaught Place."
330,Hotel Woodland Deluxe,"Paharganj, New Delhi",7.3,Good,20 reviews,1.4 km from centre,No Metro Access,Hotel Woodland Deluxe is located just 500 metres from the New Delhi Railway Station and 2 km from the famous Birla Temple. Free WiFi access is available. Each room will provide you with a cable TV.
331,The Orion - Greater Kailash,"Greater Kailash 1, New Delhi",7.6,Good,57 reviews,9.9 km from centre,No Metro Access,"Located within 8 km away from the beautiful Lotus Temple and the iconic India Gate, Justa Greater Kailash offers comfortable and cozy accommodations. Free Wi-Fi is available throughout the property."
332,Connaught Royale Delhi,"Central Delhi, New Delhi",7.4,Good,160 reviews,0.6 km from centre,Metro access,"Connaught Royale Delhi is located in the Central Delhi district in New Delhi, 1.7 km from Jantar Mantar and 4 km from Feroz Shah Kotla Cricket Stadium. Guests can enjoy the on-site restaurant."
333,Radisson Blu Marina Hotel Connaught Place,"Connaught Place, New Delhi",6.9,Review score,865 reviews,0.5 km from centre,Metro access,"Offering luxury in Delhi’s city centre, Radisson Connaught Place is a boutique hotel located in the heart of Connaught Circus having 5-star facilities."
334,Batra Holiday Home - Couple Friendly Stays,"South Delhi, New Delhi",7.0,Good,56 reviews,6.1 km from centre,No Metro Access,"Batra Holiday Home - Couple Friendly Stays is located in the South Delhi district of New Delhi, 2 km from Humayun's Tomb and 4.3 km from Pragati Maidan."
335,Cosy Grand,"South Delhi, New Delhi",7.2,Good,91 reviews,8 km from centre,No Metro Access,"Situated 4 km from India Gate and adjacent to Chanakayapuri, Cosy Grand features a 24-hour restaurant serving Indian and Chinese dishes, and complimentary Wi-Fi access."
336,The Suryaa New Delhi,"New Friends Colony, New Delhi",7.1,Good,527 reviews,9.4 km from centre,No Metro Access,The Suryaa New Delhi is located in the New Friends Colony. It offers an outdoor pool and a rooftop restaurant Sampan that offers Asian cuisines with views of the city.
337,FabHotel South View,"South Delhi, New Delhi",7.3,Good,35 reviews,10.1 km from centre,Metro access,"Situated in New Delhi, within 1.8 km of Lotus Temple and 7 km of Humayun's Tomb, FabHotel South View features accommodation with a terrace and as well as free private parking for guests who drive."
338,Vaccinated Staff- OYO 3863 Iris,"South Delhi, New Delhi",6.8,Review score,6 reviews,10.9 km from centre,No Metro Access,"Conveniently located in the South Delhi district of New Delhi, Vaccinated Staff- OYO 3863 Iris is set 2 km from Lotus Temple, 7 km from Tughlaqabad Fort and 8 km from Humayun's Tomb."
339,Hotel Metro Heights,"Karol bagh, New Delhi",7.1,Good,71 reviews,3.1 km from centre,No Metro Access,"Hotel Metro Heights is located in New Delhi's Karol Bagh neighbourhood, about 3 km from New Delhi Railway Station. Providing free Wi-Fi, it also has a 24-hour front desk and a doctor on-call."
340,Hotel Oscar,"Hauz Khas, New Delhi",7.4,Good,14 reviews,9.6 km from centre,No Metro Access,"Located in New Delhi, 3.6 km from Qutub Minar, Hotel Oscar boasts air-conditioned rooms with free WiFi throughout the property."
341,FabExpress Jaggi Palace Karol Bagh,"Karol bagh, New Delhi",7.1,Good,40 reviews,2.7 km from centre,Metro access,"The property is 100 metres from Korba Market, 3 km from India Gate and 5 km from Red Fort. The New Delhi Railway Station is 3 km."
342,Hotel Le Cadre @ Kailash Metro,"South Delhi, New Delhi",7.0,Good,38 reviews,9.1 km from centre,Metro access,"Offering a restaurant, Hotel Le Cadre is located in New Delhi, just 30 metres from the Kailash Colony Metro Station. Free WiFi access is available."
343,Hotel Sun Village - Couple Friendly Stays,"Paharganj, New Delhi",7.1,Good,300 reviews,1.4 km from centre,Metro access,"Conveniently situated in the Paharganj district of New Delhi, Hotel Sun Village - Couple Friendly Stays is located 2.3 km from Gurudwara Bangla Sahib, 2.8 km from Jama Masjid and 3.5 km from Jantar..."
344,Park Plaza Shahdara,"East Delhi, New Delhi",7.0,Good,409 reviews,8.8 km from centre,No Metro Access,"The 4-star Park Plaza Shahdara in East Delhi is an elegant property with an outdoor pool, fitness centre and pampering spa treatments. Wi-Fi is available throughout the whole hotel."
345,Hotel Kundan Plaza,"Jasola, New Delhi",7.3,Good,31 reviews,12 km from centre,Metro access,"Set in New Delhi, Hotel Kundan Plaza provides 3-star accommodation with private balconies."
346,Tivoli Grand Resort,New Delhi,6.7,Review score,12 reviews,18.8 km from centre,No Metro Access,"Featuring an outdoor pool and a restaurant, Tivoli Grand Resort is located in New Delhi. Internet access is available in the rooms at an additional charge."
347,Hotel Airport Twilight,"Mahipalpur, New Delhi",7.3,Good,19 reviews,13.4 km from centre,No Metro Access,"Situated conveniently in the Mahipalpur district of New Delhi, Hotel Airport Twilight is set 11 km from Qutub Minar, 12 km from Gandhi Smriti and 12 km from Rashtrapati Bhavan."
348,Hotel Jukaso Inn Down Town - A Couple Friendly Hotel,"Connaught Place, New Delhi",7.1,Good,268 reviews,0.1 km from centre,Metro access,"Located just 1.2 km from the New Delhi Railway Station, Hotel Jukaso Inn Down Town operates a 24-hour front desk to assist guests at all hours. Free WiFi access is available."
349,"Diplomat, Chanakyapuri New Delhi- A Boutique Hotel","Chanakyapuri, New Delhi",7.2,Good,136 reviews,4.6 km from centre,No Metro Access,"Located in the affluent district of Chankayapuri, Hotel Diplomat offers air-conditioned rooms with free Wi-Fi, a flat-screen TV and daily breakfast."
350,Capital O 2242 Hotel Yuvraj Deluxe,"Chandni Chowk, New Delhi",7.1,Good,97 reviews,2.9 km from centre,No Metro Access,"Yuvraj Deluxe is conveniently located within a 2 km radius of Connaught Place, Karol Bagh, Chandni Chowk and Sadar Bazaar. The hotel also provides free Wi-Fi access and 24-hour room service."
351,The Grand New Delhi,"South Delhi, New Delhi",7.1,Good,682 reviews,12.7 km from centre,No Metro Access,The Grand New Delhi is a 5-star property is just a 15-minute drive from Indira Gandhi International Airport (Terminal 3).
352,Hotel Venus Plaza - Near Delhi Airport,"South West, New Delhi",9.0,Superb,560 reviews,14.9 km from centre,No Metro Access,"Located in the Mahipalpur area of New Delhi, Hotel Venus Plaza - Near Delhi Airport is a 10-minute drive from Indira Gandhi International Airport."
353,Hotel Arch - Near Aerocity New Delhi,"Mahipalpur, New Delhi",8.8,Fabulous,121 reviews,13.3 km from centre,No Metro Access,"Ideally set in the Mahipalpur district of New Delhi, Hotel Arch - Near Aerocity New Delhi is situated 11 km from Qutub Minar, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla Sahib."
354,FabHotel Sehej Inn,"Karol bagh, New Delhi",7.2,Good,42 reviews,4.1 km from centre,No Metro Access,"Situated conveniently in the Karol bagh district of New Delhi, FabHotel Sehej Inn is set 5 km from Gurudwara Bangla Sahib, 5 km from Jama Masjid and 6 km from Jantar Mantar."
355,Vaccinated Staff- CAPITAL O74390 Hotel Grand Park Inn,"Karol bagh, New Delhi",7.1,Good,37 reviews,2.9 km from centre,Metro access,"Grand Park- Inn is located in Karol Bagh, 2 km from New Delhi Railway Station providing easy access to commercial areas and tourist sites."
356,Hotel City Centre Inn - Couple Friendly Stays,"South Delhi, New Delhi",7.0,Good,233 reviews,6.4 km from centre,No Metro Access,"Located in New Delhi, 1.1 km from Humayun's Tomb, Hotel City Centre Inn - Couple Friendly Stays offers air-conditioned rooms with free WiFi."
357,Vaccinated Staff - OYO 9273 Surya Palace,"South West, New Delhi",7.3,Good,8 reviews,15.9 km from centre,No Metro Access,"OYO 9273 Surya Palace is set in New Delhi, 13 km from Rashtrapati Bhavan. Rooms come with a TV. Qutub Minar is 13 km from OYO 9273 Surya Palace, while Jantar Mantar is 15 km away."
358,Airport Hotel Delhi Aerocity,"South West, New Delhi",7.2,Good,75 reviews,16.2 km from centre,No Metro Access,"Featuring a garden and free WiFi, Airport Hotel Delhi Aerocity is set in New Delhi, 16 km from Qutub Minar and 17 km from Rashtrapati Bhavan."
359,OYO 9046 Hotel Metro Star,"Jasola, New Delhi",6.6,Review score,7 reviews,11.9 km from centre,Metro access,"Ideally set in the Jasola district of New Delhi, OYO 9046 Hotel Metro Star is situated 8 km from Tughlaqabad Fort, 8 km from Lotus Temple and 11 km from Humayun's Tomb."
360,Hotel Olive International Near IGI Airport,"Mahipalpur, New Delhi",7.9,Good,70 reviews,13.9 km from centre,Metro access,"Located in New Delhi, 7 km from Qutub Minar, Hotel Olive International Near IGI Airport provides accommodation with a restaurant, free private parking, a shared lounge and a terrace."
361,FabHotel Aashraye - Fully Vaccinated Staff,"South Delhi, New Delhi",7.4,Good,82 reviews,10.4 km from centre,Metro access,"Situated in New Delhi, 2.2 km from Lotus Temple, FabHotel Aashraye - Fully Vaccinated Staff features views of the city."
362,Vaccinated Staff- OYO Townhouse 067 Chattarpur,"Chattarpur, New Delhi",4.6,Review score,11 reviews,15.7 km from centre,No Metro Access,"Boasting a shared lounge, OYO Townhouse 067 Chattarpur is situated in New Delhi in the Delhi NCR region, 5 km from Qutub Minar and 13 km from Lodhi Gardens."
363,FabHotel Raj Palace Mahipalpur,"Mahipalpur, New Delhi",5.8,Review score,6 reviews,13.7 km from centre,No Metro Access,"Ideally located in the Mahipalpur district of New Delhi, FabHotel Raj Palace Mahipalpur is set 10 km from Qutub Minar, 15 km from Gandhi Smriti and 15 km from Rashtrapati Bhavan."
364,The Penthouse,"East Delhi, New Delhi",7.6,Good,34 reviews,7.4 km from centre,No Metro Access,"Situated 8 km from Red Fort, The Penthouse offers a shared lounge, a garden and air-conditioned accommodation with a patio and free WiFi."
365,Grand Imperial,"Karol bagh, New Delhi",7.1,Good,103 reviews,4 km from centre,No Metro Access,"Located in New Delhi, 5 km from Gurudwara Bangla Sahib, Grand Imperial provides accommodation with a restaurant, free private parking, a garden and a terrace."
366,Amax Inn,"Paharganj, New Delhi",7.1,Good,261 reviews,1.6 km from centre,No Metro Access,"Amax Inn is located in the heart of New Delhi, just 500 metres from Dehli Railway Station. The hotel offers elegant accommodation with private bathroom facilities and free Wi-Fi in public areas."
367,Trimrooms Palm D'or,"Paharganj, New Delhi",6.9,Review score,740 reviews,1.2 km from centre,No Metro Access,"Trimrooms Palm D'or is located in New Delhi, 1.5 km from Connaught Place. It features a 24-hour coffee shop and rooms with a flat-screen TV. Guests enjoy free Wi-Fi."
368,Cottage Lord Krishna,"Paharganj, New Delhi",6.7,Review score,8 reviews,1.1 km from centre,No Metro Access,"Attractively situated in the Paharganj district of New Delhi, Cottage Lord Krishna is situated 1.8 km from Gurudwara Bangla Sahib, 2.8 km from Jantar Mantar and 3.1 km from Jama Masjid."
369,Airport Hotel Le Seasons New Delhi,"Mahipalpur, New Delhi",7.1,Good,96 reviews,13.6 km from centre,Metro access,"Airport Hotel Le Seasons Aerocity New Delhi is located just 300 metres from Delhi International Airport. The ideally located hotel offers a fitness centre, free parking and free WiFi in rooms."
370,OYO 27812 Hotel Shoba Residency,"Mahipalpur, New Delhi",6.0,Review score,15 reviews,12.8 km from centre,No Metro Access,OYO 27812 Hotel Shoba Residency features air-conditioned rooms with cable flat-screen TV in the Mahipalpur district of New Delhi.
